date,BaseRate,ChangeRate
2017.01.13,1.25,0
2017.02.23,1.25,0
2017.05.25,1.25,0
2017.05.25,1.25,0
2017.07.13,1.25,0
2017.08.31,1.25,0
2017.10.19,1.25,0.25
2017.11.30,1.5,0
2018.01.18,1.5,0
2018.02.27,1.5,0
2018.04.12,1.5,0
2018.05.24,1.5,0
2018.07.12,1.5,0
2018.08.31,1.5,0
2018.10.18,1.5,0.25
2018.11.30,1.75,0
2019.01.24,1.75,0
2019.02.28,1.75,0
2019.04.18,1.75,0
2019.05.31,1.75,0
2019.07.18,1.5,-0.25
2019.08.30,1.5,0
2019.10.16,1.25,-0.25
2019.11.29,1.25,0
2020.01.17,1.25,0
2020..02.27,1.25,0
2020.03.16,0.75,0.5
2020.04.09,0.75,0
2020.05.28,0.5,-0.25
2020.07.16,0.5,0
2020.08.27,0.5,0
2020.10.14,0.5,0
2020.11.26,0.5,0
2021.01.15,0.5,0
2021.02.25,0.5,0
2021.04.15,0.5,0
2021.05.27,0.5,0
2021.07.15,0.5,0
2021.08.26,0.75,0.25
2021.10.12,0.75,0
2021.11.25,1,0.25
2022.01.14,1.25,0.25
2022.02.24,1.25,0
2022.04.14,1.5,0.25
2022.05.26,1.75,0.25
2022.07.13,2.25,0.5
2022.08.25,2.5,0.25
2022.10.12,3,0.5
2022.11.24,3.25,0.25
2023.01.13,3.5,0.25
